NewTV,#genre#
超级电视剧,http://dsm.huarunguoji.top:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
动作电影,http://dsm.huarunguoji.top:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
惊悚悬疑,http://dsm.huarunguoji.top:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
哒啵电竞,http://dsm.huarunguoji.top:35455/itv/1000000006000032327.m3u8?cdn=ystenlive
精品体育,http://dsm.huarunguoji.top:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
精品综合,http://dsm.huarunguoji.top:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
哒啵赛事,http://dsm.huarunguoji.top:35455/itv/1000000001000003775.m3u8?cdn=ystenlive
黑莓动画,http://dsm.huarunguoji.top:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
黑莓电影,http://dsm.huarunguoji.top:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
怡伴健康,http://dsm.huarunguoji.top:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
炫舞未来,http://dsm.huarunguoji.top:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
魅力潇湘,http://dsm.huarunguoji.top:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
金牌综艺,http://dsm.huarunguoji.top:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
家庭剧场,http://dsm.huarunguoji.top:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
欢乐剧场,http://dsm.huarunguoji.top:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
东北热剧,http://dsm.huarunguoji.top:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
超级综艺,http://dsm.huarunguoji.top:35455/itv/1000000006000268002.m3u8?cdn=ystenlive
超级体育,http://dsm.huarunguoji.top:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
超级电影,http://dsm.huarunguoji.top:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
精品萌宠,http://dsm.huarunguoji.top:35455/itv/1000000006000032328.m3u8?cdn=ystenlive
精品纪录,http://dsm.huarunguoji.top:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
