中国电信-四川-酒店,#genre#
CCTV1,http://61.157.139.15:9901/tsfile/live/2371_1.m3u8
CCTV2,http://61.157.139.15:9901/tsfile/live/2372_1.m3u8
CCTV3,http://61.157.139.15:9901/tsfile/live/2373_1.m3u8
CCTV4,http://61.157.139.15:9901/tsfile/live/2374_1.m3u8
CCTV5,http://61.157.139.15:9901/tsfile/live/2375_1.m3u8
CCTV6,http://61.157.139.15:9901/tsfile/live/2376_1.m3u8
CCTV7,http://61.157.139.15:9901/tsfile/live/2377_1.m3u8
CCTV8,http://61.157.139.15:9901/tsfile/live/2378_1.m3u8
CCTV9,http://61.157.139.15:9901/tsfile/live/2379_1.m3u8
CCTV10,http://61.157.139.15:9901/tsfile/live/2380_1.m3u8
CCTV11,http://61.157.139.15:9901/tsfile/live/2381_1.m3u8
CCTV12,http://61.157.139.15:9901/tsfile/live/2382_1.m3u8
CCTV13,http://61.157.139.15:9901/tsfile/live/2383_1.m3u8
CCTV14,http://61.157.139.15:9901/tsfile/live/2384_1.m3u8
CCTV15,http://61.157.139.15:9901/tsfile/live/2385_1.m3u8
CCTV17,http://61.157.139.15:9901/tsfile/live/2386_1.m3u8
CCTVNEWS,http://61.157.139.15:9901/tsfile/live/2387_1.m3u8
北京卫视,http://61.157.139.15:9901/tsfile/live/2388_1.m3u8
上海卫视,http://61.157.139.15:9901/tsfile/live/2389_1.m3u8
浙江卫视,http://61.157.139.15:9901/tsfile/live/2390_1.m3u8
湖南卫视,http://61.157.139.15:9901/tsfile/live/2391_1.m3u8
江苏卫视,http://61.157.139.15:9901/tsfile/live/2392_1.m3u8
四川卫视,http://61.157.139.15:9901/tsfile/live/2393_1.m3u8
天津卫视,http://61.157.139.15:9901/tsfile/live/2394_1.m3u8
广东卫视,http://61.157.139.15:9901/tsfile/live/2395_1.m3u8
峨眉电影,http://61.157.139.15:9901/tsfile/live/2396_1.m3u8
山西卫视,http://61.157.139.15:9901/tsfile/live/2397_1.m3u8
云南卫视,http://61.157.139.15:9901/tsfile/live/2401_1.m3u8
青海卫视,http://61.157.139.15:9901/tsfile/live/2402_1.m3u8
宁夏卫视,http://61.157.139.15:9901/tsfile/live/2403_1.m3u8
海南卫视,http://61.157.139.15:9901/tsfile/live/2404_1.m3u8
SCTV2,http://61.157.139.15:9901/tsfile/live/2416_1.m3u8
SCTV3,http://61.157.139.15:9901/tsfile/live/2417_1.m3u8
SCTV4,http://61.157.139.15:9901/tsfile/live/2411_1.m3u8
SCTV5,http://61.157.139.15:9901/tsfile/live/2412_1.m3u8
SCTV6,http://61.157.139.15:9901/tsfile/live/2413_1.m3u8
SCTV7,http://61.157.139.15:9901/tsfile/live/2414_1.m3u8
康巴卫视,http://61.157.139.15:9901/tsfile/live/2415_1.m3u8
东南卫视,http://61.157.139.15:9901/tsfile/live/0137_1.m3u8
黑龙江卫视,http://61.157.139.15:9901/tsfile/live/0143_1.m3u8
卡酷少儿,http://61.157.139.15:9901/tsfile/live/2418_1.m3u8
金鹰卡通,http://61.157.139.15:9901/tsfile/live/2419_1.m3u8
佳嘉卡通,http://61.157.139.15:9901/tsfile/live/2420_1.m3u8
重庆卫视,http://61.157.139.15:9901/tsfile/live/0142_1.m3u8
贵州卫视,http://61.157.139.15:9901/tsfile/live/0120_1.m3u8
湖北卫视,http://61.157.139.15:9901/tsfile/live/0132_1.m3u8
安徽卫视,http://61.157.139.15:9901/tsfile/live/0130_1.m3u8
河北卫视,http://61.157.139.15:9901/tsfile/live/0117_1.m3u8
辽宁卫视,http://61.157.139.15:9901/tsfile/live/0121_1.m3u8
河南卫视,http://61.157.139.15:9901/tsfile/live/0139_1.m3u8
