中国电信-山东-酒店,#genre#
CCTV1,http://222.173.108.238:352/tsfile/live/0001_1.m3u8
山东卫视,http://222.173.108.238:352/tsfile/live/0131_1.m3u8
QTV1,http://222.173.108.238:352/tsfile/live/0116_1.m3u8
莱西综合,http://222.173.108.238:352/tsfile/live/0136_1.m3u8
CCTV2,http://222.173.108.238:352/tsfile/live/0002_1.m3u8
CCTV3,http://222.173.108.238:352/tsfile/live/0003_1.m3u8
CCTV4,http://222.173.108.238:352/tsfile/live/0004_1.m3u8
CCTV5,http://222.173.108.238:352/tsfile/live/0005_1.m3u8
CCTV6,http://222.173.108.238:352/tsfile/live/0006_1.m3u8
CCTV7,http://222.173.108.238:352/tsfile/live/0007_1.m3u8
CCTV8,http://222.173.108.238:352/tsfile/live/0008_1.m3u8
CCTV9,http://222.173.108.238:352/tsfile/live/0009_1.m3u8
CCTV10,http://222.173.108.238:352/tsfile/live/0010_1.m3u8
CCTV11,http://222.173.108.238:352/tsfile/live/0011_1.m3u8
CCTV12,http://222.173.108.238:352/tsfile/live/0012_1.m3u8
CCTV13,http://222.173.108.238:352/tsfile/live/0013_1.m3u8
CCTV14,http://222.173.108.238:352/tsfile/live/0014_1.m3u8
CCTV15,http://222.173.108.238:352/tsfile/live/0015_1.m3u8
江苏卫视,http://222.173.108.238:352/tsfile/live/0116_2.m3u8
湖南卫视,http://222.173.108.238:352/tsfile/live/0128_1.m3u8
安徽卫视,http://222.173.108.238:352/tsfile/live/1005_1.m3u8
上海卫视,http://222.173.108.238:352/tsfile/live/1006_1.m3u8
辽宁卫视,http://222.173.108.238:352/tsfile/live/1008_1.m3u8
江西卫视,http://222.173.108.238:352/tsfile/live/1010_1.m3u8
深圳卫视,http://222.173.108.238:352/tsfile/live/1009_1.m3u8
四川卫视,http://222.173.108.238:352/tsfile/live/1011_1.m3u8
河北卫视,http://222.173.108.238:352/tsfile/live/1013_1.m3u8
广东卫视,http://222.173.108.238:352/tsfile/live/0125_1.m3u8
湖北卫视,http://222.173.108.238:352/tsfile/live/1015_1.m3u8
重庆卫视,http://222.173.108.238:352/tsfile/live/1016_1.m3u8
北京卫视,http://222.173.108.238:352/tsfile/live/1007_1.m3u8
浙江卫视,http://222.173.108.238:352/tsfile/live/0124_1.m3u8
天津卫视,http://222.173.108.238:352/tsfile/live/0135_1.m3u8
动作电影,http://222.173.108.238:352/tsfile/live/0109_1.m3u8
亚洲电影,http://222.173.108.238:352/tsfile/live/0112_1.m3u8
欧美电影,http://222.173.108.238:352/tsfile/live/0141_1.m3u8
卡酷少儿,http://222.173.108.238:352/tsfile/live/1021_1.m3u8
金鹰卡通,http://222.173.108.238:352/tsfile/live/1014_1.m3u8
重温经典,http://222.173.108.238:352/tsfile/live/1022_1.m3u8
CCTV5+,http://222.173.108.238:352/tsfile/live/0016_1.m3u8
求索动物,http://222.173.108.238:352/tsfile/live/0110_1.m3u8
曲剧名段,http://222.173.108.238:352/tsfile/live/1002_1.m3u8
风云足球,http://222.173.108.238:352/tsfile/live/0119_1.m3u8
快乐垂钓,http://222.173.108.238:352/tsfile/live/0118_1.m3u8
欢乐剧场,http://222.173.108.238:352/tsfile/live/0113_1.m3u8
山东综艺,http://222.173.108.238:352/tsfile/live/1003_1.m3u8
山东体育,http://222.173.108.238:352/tsfile/live/1000_1.m3u8
山东少儿,http://222.173.108.238:352/tsfile/live/1018_1.m3u8
