中国电信-山西-酒店,#genre#
CCTV1,http://219.145.59.166:8888/tsfile/live/1011_1.m3u8
CCTV2,http://219.145.59.166:8888/tsfile/live/1012_1.m3u8
CCTV3,http://219.145.59.166:8888/tsfile/live/1013_1.m3u8
CCTV4,http://219.145.59.166:8888/tsfile/live/1014_1.m3u8
CCTV5,http://219.145.59.166:8888/tsfile/live/1015_1.m3u8
CCTV6,http://219.145.59.166:8888/tsfile/live/1016_1.m3u8
CCTV7,http://219.145.59.166:8888/tsfile/live/1017_1.m3u8
CCTV8,http://219.145.59.166:8888/tsfile/live/1018_1.m3u8
CCTV9,http://219.145.59.166:8888/tsfile/live/1019_1.m3u8
CCTV10,http://219.145.59.166:8888/tsfile/live/1020_1.m3u8
CCTV11,http://219.145.59.166:8888/tsfile/live/1021_1.m3u8
CCTV12,http://219.145.59.166:8888/tsfile/live/1022_1.m3u8
CCTV13,http://219.145.59.166:8888/tsfile/live/1023_1.m3u8
CCTV14,http://219.145.59.166:8888/tsfile/live/1024_1.m3u8
CCTV15,http://219.145.59.166:8888/tsfile/live/1025_1.m3u8
陕西一套,http://219.145.59.166:8888/tsfile/live/1026_1.m3u8
上海卫视,http://219.145.59.166:8888/tsfile/live/1027_1.m3u8
湖南卫视,http://219.145.59.166:8888/tsfile/live/1028_1.m3u8
江苏卫视,http://219.145.59.166:8888/tsfile/live/1029_1.m3u8
浙江卫视,http://219.145.59.166:8888/tsfile/live/1030_1.m3u8
北京卫视,http://219.145.59.166:8888/tsfile/live/1031_1.m3u8
广东卫视,http://219.145.59.166:8888/tsfile/live/1032_1.m3u8
深圳卫视,http://219.145.59.166:8888/tsfile/live/1033_1.m3u8
黑龙江卫视,http://219.145.59.166:8888/tsfile/live/1034_1.m3u8
山东卫视,http://219.145.59.166:8888/tsfile/live/1035_1.m3u8
四川卫视,http://219.145.59.166:8888/tsfile/live/1036_1.m3u8
安徽卫视,http://219.145.59.166:8888/tsfile/live/1037_1.m3u8
重庆卫视,http://219.145.59.166:8888/tsfile/live/1038_1.m3u8
天津卫视,http://219.145.59.166:8888/tsfile/live/1039_1.m3u8
东南卫视,http://219.145.59.166:8888/tsfile/live/1040_1.m3u8
河南卫视,http://219.145.59.166:8888/tsfile/live/1041_1.m3u8
江西卫视,http://219.145.59.166:8888/tsfile/live/1042_1.m3u8
吉林卫视,http://219.145.59.166:8888/tsfile/live/1043_1.m3u8
贵州卫视,http://219.145.59.166:8888/tsfile/live/1044_1.m3u8
辽宁卫视,http://219.145.59.166:8888/tsfile/live/1045_1.m3u8
河北卫视,http://219.145.59.166:8888/tsfile/live/1046_1.m3u8
山西卫视,http://219.145.59.166:8888/tsfile/live/1047_1.m3u8
甘肃卫视,http://219.145.59.166:8888/tsfile/live/1048_1.m3u8
宁夏卫视,http://219.145.59.166:8888/tsfile/live/1049_1.m3u8
海南卫视,http://219.145.59.166:8888/tsfile/live/1050_1.m3u8
