中国电信-广东-酒店,#genre#
CCTV1,http://219.137.231.23:9901/tsfile/live/0001_1.m3u8
CCTV2,http://219.137.231.23:9901/tsfile/live/0002_1.m3u8
CCTV3,http://219.137.231.23:9901/tsfile/live/0003_1.m3u8
CCTV4,http://219.137.231.23:9901/tsfile/live/0004_1.m3u8
CCTV5,http://219.137.231.23:9901/tsfile/live/0005_1.m3u8
CCTV6,http://219.137.231.23:9901/tsfile/live/0006_1.m3u8
CCTV8,http://219.137.231.23:9901/tsfile/live/0008_1.m3u8
CCTV9,http://219.137.231.23:9901/tsfile/live/0009_1.m3u8
CCTV10,http://219.137.231.23:9901/tsfile/live/0010_1.m3u8
CCTV11,http://219.137.231.23:9901/tsfile/live/0011_1.m3u8
CCTV12,http://219.137.231.23:9901/tsfile/live/0012_1.m3u8
CCTV13,http://219.137.231.23:9901/tsfile/live/0013_1.m3u8
CCTV14,http://219.137.231.23:9901/tsfile/live/0014_1.m3u8
CCTV15,http://219.137.231.23:9901/tsfile/live/0015_1.m3u8
广东卫视,http://219.137.231.23:9901/tsfile/live/0125_1.m3u8
广东珠江,http://219.137.231.23:9901/tsfile/live/1000_1.m3u8
广东新闻,http://219.137.231.23:9901/tsfile/live/1001_1.m3u8
广东公共,http://219.137.231.23:9901/tsfile/live/1002_1.m3u8
广东体育,http://219.137.231.23:9901/tsfile/live/1003_1.m3u8
广东少儿,http://219.137.231.23:9901/tsfile/live/1004_1.m3u8
佳嘉卡通,http://219.137.231.23:9901/tsfile/live/1005_1.m3u8
IPTV热播剧场,http://219.137.231.23:9901/tsfile/live/1008_1.m3u8
新科动漫,http://219.137.231.23:9901/tsfile/live/1013_1.m3u8
湖南卫视,http://219.137.231.23:9901/tsfile/live/0128_1.m3u8
湖北卫视,http://219.137.231.23:9901/tsfile/live/0132_1.m3u8
金鹰卡通,http://219.137.231.23:9901/tsfile/live/1014_1.m3u8
