中国电信-广西-酒店,#genre#
广西综艺,http://171.108.239.79:8181/tsfile/live/1000_1.m3u8
珠江台,http://171.108.239.79:8181/tsfile/live/1001_1.m3u8
广东影视,http://171.108.239.79:8181/tsfile/live/1002_1.m3u8
广东体育,http://171.108.239.79:8181/tsfile/live/1004_1.m3u8
星河,http://171.108.239.79:8181/tsfile/live/1005_1.m3u8
家庭影院,http://171.108.239.79:8181/tsfile/live/1006_1.m3u8
动作电影,http://171.108.239.79:8181/tsfile/live/1007_1.m3u8
电影,http://171.108.239.79:8181/tsfile/live/1008_1.m3u8
天映电影,http://171.108.239.79:8181/tsfile/live/1009_1.m3u8
东森电影,http://171.108.239.79:8181/tsfile/live/1010_1.m3u8
龙祥电影,http://171.108.239.79:8181/tsfile/live/1011_1.m3u8
星空卫视,http://171.108.239.79:8181/tsfile/live/1012_1.m3u8
中国电影,http://171.108.239.79:8181/tsfile/live/1013_1.m3u8
私人影院,http://171.108.239.79:8181/tsfile/live/1014_1.m3u8
东森洋片,http://171.108.239.79:8181/tsfile/live/1016_1.m3u8
南宁影视,http://171.108.239.79:8181/tsfile/live/1017_1.m3u8
经典电影,http://171.108.239.79:8181/tsfile/live/1019_1.m3u8
热播剧场,http://171.108.239.79:8181/tsfile/live/1020_1.m3u8
谍战剧场,http://171.108.239.79:8181/tsfile/live/1021_1.m3u8
电影,http://171.108.239.79:8181/tsfile/live/1022_1.m3u8
东森超视,http://171.108.239.79:8181/tsfile/live/1023_1.m3u8
凤凰资讯,http://171.108.239.79:8181/tsfile/live/1024_1.m3u8
莲花台,http://171.108.239.79:8181/tsfile/live/1025_1.m3u8
南方卫视,http://171.108.239.79:8181/tsfile/live/1003_1.m3u8
广场舞,http://171.108.239.79:8181/tsfile/live/1015_1.m3u8
牛歌戏,http://171.108.239.79:8181/tsfile/live/1068_1.m3u8
中国天气,http://171.108.239.79:8181/tsfile/live/1116_1.m3u8
CCTV1,http://171.108.239.79:8181/tsfile/live/1027_1.m3u8
CCTV2,http://171.108.239.79:8181/tsfile/live/1028_1.m3u8
CCTV3,http://171.108.239.79:8181/tsfile/live/1029_1.m3u8
CCTV4,http://171.108.239.79:8181/tsfile/live/1030_1.m3u8
