中国电信-江西-酒店,#genre#
CCTV1,http://115.150.63.77:9902/tsfile/live/0001_1.m3u8
CCTV2,http://115.150.63.77:9902/tsfile/live/0001_2.m3u8
CCTV3,http://115.150.63.77:9902/tsfile/live/0001_3.m3u8
CCTV4,http://115.150.63.77:9902/tsfile/live/0001_4.m3u8
CCTV5,http://115.150.63.77:9902/tsfile/live/0001_5.m3u8
CCTV5+,http://115.150.63.77:9902/tsfile/live/0001_6.m3u8
CCTV6,http://115.150.63.77:9902/tsfile/live/0001_7.m3u8
CCTV7,http://115.150.63.77:9902/tsfile/live/0001_8.m3u8
CCTV8,http://115.150.63.77:9902/tsfile/live/0001_9.m3u8
CCTV9,http://115.150.63.77:9902/tsfile/live/0001_10.m3u8
CCTV10,http://115.150.63.77:9902/tsfile/live/0001_11.m3u8
CCTV11,http://115.150.63.77:9902/tsfile/live/0001_12.m3u8
CCTV12,http://115.150.63.77:9902/tsfile/live/0001_13.m3u8
CCTV13,http://115.150.63.77:9902/tsfile/live/0001_14.m3u8
CCTV14,http://115.150.63.77:9902/tsfile/live/0014_1.m3u8
CCTV15,http://115.150.63.77:9902/tsfile/live/0015_1.m3u8
CCTV17,http://115.150.63.77:9902/tsfile/live/0019_1.m3u8
江西卫视,http://115.150.63.77:9902/tsfile/live/0138_1.m3u8
江西新闻,http://115.150.63.77:9902/tsfile/live/1061_1.m3u8
石城综合,http://115.150.63.77:9902/tsfile/live/0001_15.m3u8
石城影视,http://115.150.63.77:9902/tsfile/live/0001_16.m3u8
江西少儿,http://115.150.63.77:9902/tsfile/live/1062_1.m3u8
北京卫视,http://115.150.63.77:9902/tsfile/live/1063_1.m3u8
湖南卫视,http://115.150.63.77:9902/tsfile/live/1064_1.m3u8
浙江卫视,http://115.150.63.77:9902/tsfile/live/1065_1.m3u8
安徽卫视,http://115.150.63.77:9902/tsfile/live/1066_1.m3u8
江苏卫视,http://115.150.63.77:9902/tsfile/live/0001_17.m3u8
湖北卫视,http://115.150.63.77:9902/tsfile/live/0001_18.m3u8
辽宁卫视,http://115.150.63.77:9902/tsfile/live/0001_19.m3u8
广东卫视,http://115.150.63.77:9902/tsfile/live/0001_20.m3u8
黑龙江卫视,http://115.150.63.77:9902/tsfile/live/0001_21.m3u8
上海卫视,http://115.150.63.77:9902/tsfile/live/0001_22.m3u8
深圳卫视,http://115.150.63.77:9902/tsfile/live/0001_23.m3u8
河北卫视,http://115.150.63.77:9902/tsfile/live/0001_24.m3u8
天津卫视,http://115.150.63.77:9902/tsfile/live/0001_25.m3u8
东南卫视,http://115.150.63.77:9902/tsfile/live/0001_26.m3u8
贵州卫视,http://115.150.63.77:9902/tsfile/live/0001_27.m3u8
广西卫视,http://115.150.63.77:9902/tsfile/live/0001_28.m3u8
足球,http://115.150.63.77:9902/tsfile/live/0001_29.m3u8
重庆卫视,http://115.150.63.77:9902/tsfile/live/0001_30.m3u8
吉林卫视,http://115.150.63.77:9902/tsfile/live/0001_31.m3u8
云南卫视,http://115.150.63.77:9902/tsfile/live/0001_32.m3u8
求索纪录,http://115.150.63.77:9902/tsfile/live/0001_33.m3u8
金鹰卡通,http://115.150.63.77:9902/tsfile/live/0001_34.m3u8
精彩影视,http://115.150.63.77:9902/tsfile/live/0001_39.m3u8
北京冬奥纪实,http://115.150.63.77:9902/tsfile/live/0001_40.m3u8
中华美食,http://115.150.63.77:9902/tsfile/live/0001_41.m3u8
快乐垂钓,http://115.150.63.77:9902/tsfile/live/0001_42.m3u8
茶,http://115.150.63.77:9902/tsfile/live/0001_43.m3u8
全纪实,http://115.150.63.77:9902/tsfile/live/0001_44.m3u8
生活时尚,http://115.150.63.77:9902/tsfile/live/0001_45.m3u8
