中国联通-北京-酒店,#genre#
CCTV1,http://116.167.125.200:9901/tsfile/live/0001_1.m3u8
CCTV2,http://116.167.125.200:9901/tsfile/live/0002_1.m3u8
IPTV3,http://116.167.125.200:9901/tsfile/live/1002_1.m3u8
CCTV4,http://116.167.125.200:9901/tsfile/live/0004_1.m3u8
CCTV5,http://116.167.125.200:9901/tsfile/live/0005_1.m3u8
CCTV6,http://116.167.125.200:9901/tsfile/live/0006_1.m3u8
CCTV7,http://116.167.125.200:9901/tsfile/live/0007_1.m3u8
IPTV8,http://116.167.125.200:9901/tsfile/live/1007_1.m3u8
CCTV9,http://116.167.125.200:9901/tsfile/live/1008_1.m3u8
CCTV10,http://116.167.125.200:9901/tsfile/live/1009_1.m3u8
CCTV11,http://116.167.125.200:9901/tsfile/live/1010_1.m3u8
CCTV12,http://116.167.125.200:9901/tsfile/live/1011_1.m3u8
CCTV13,http://116.167.125.200:9901/tsfile/live/1012_1.m3u8
CCTV14,http://116.167.125.200:9901/tsfile/live/1013_1.m3u8
CCTV15,http://116.167.125.200:9901/tsfile/live/1014_1.m3u8
CGTN,http://116.167.125.200:9901/tsfile/live/1015_1.m3u8
旅游卫视,http://116.167.125.200:9901/tsfile/live/0114_1.m3u8
海南综合,http://116.167.125.200:9901/tsfile/live/1016_1.m3u8
海南新闻,http://116.167.125.200:9901/tsfile/live/1017_1.m3u8
海南公共,http://116.167.125.200:9901/tsfile/live/1018_1.m3u8
湖南卫视,http://116.167.125.200:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://116.167.125.200:9901/tsfile/live/0124_1.m3u8
安徽卫视,http://116.167.125.200:9901/tsfile/live/0130_1.m3u8
北京卫视,http://116.167.125.200:9901/tsfile/live/0122_1.m3u8
天津卫视,http://116.167.125.200:9901/tsfile/live/0135_1.m3u8
辽宁卫视,http://116.167.125.200:9901/tsfile/live/0121_1.m3u8
山东卫视,http://116.167.125.200:9901/tsfile/live/0131_1.m3u8
上海卫视,http://116.167.125.200:9901/tsfile/live/0107_1.m3u8
广东卫视,http://116.167.125.200:9901/tsfile/live/0125_1.m3u8
广西卫视,http://116.167.125.200:9901/tsfile/live/0113_1.m3u8
湖北卫视,http://116.167.125.200:9901/tsfile/live/0132_1.m3u8
深圳卫视,http://116.167.125.200:9901/tsfile/live/0126_1.m3u8
云南卫视,http://116.167.125.200:9901/tsfile/live/0119_1.m3u8
河南卫视,http://116.167.125.200:9901/tsfile/live/0139_1.m3u8
黑龙江卫视,http://116.167.125.200:9901/tsfile/live/0143_1.m3u8
四川卫视,http://116.167.125.200:9901/tsfile/live/0123_1.m3u8
江西卫视,http://116.167.125.200:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://116.167.125.200:9901/tsfile/live/0120_1.m3u8
重庆卫视,http://116.167.125.200:9901/tsfile/live/0142_1.m3u8
东南卫视,http://116.167.125.200:9901/tsfile/live/0137_1.m3u8
河北卫视,http://116.167.125.200:9901/tsfile/live/0117_1.m3u8
吉林卫视,http://116.167.125.200:9901/tsfile/live/0116_1.m3u8
陕西卫视,http://116.167.125.200:9901/tsfile/live/0136_1.m3u8
山西卫视,http://116.167.125.200:9901/tsfile/live/0118_1.m3u8
内蒙古卫视,http://116.167.125.200:9901/tsfile/live/0109_1.m3u8
青海卫视,http://116.167.125.200:9901/tsfile/live/0140_1.m3u8
宁夏卫视,http://116.167.125.200:9901/tsfile/live/0112_1.m3u8
海南影视,http://116.167.125.200:9901/tsfile/live/1019_1.m3u8
