中国联通-安徽-酒店,#genre#
CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8
CCTV2,http://112.132.10.54:9901/tsfile/live/0002_1.m3u8
CCTV3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8
CCTV4,http://112.132.10.54:9901/tsfile/live/0004_2.m3u8
CCTV5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8
CCTV6,http://112.132.10.54:9901/tsfile/live/0006_1.m3u8
CCTV7,http://112.132.10.54:9901/tsfile/live/0007_1.m3u8
CCTV8,http://112.132.10.54:9901/tsfile/live/0008_1.m3u8
CCTV9,http://112.132.10.54:9901/tsfile/live/0009_1.m3u8
CCTV10,http://112.132.10.54:9901/tsfile/live/0010_1.m3u8
CCTV11,http://112.132.10.54:9901/tsfile/live/0011_1.m3u8
CCTV12,http://112.132.10.54:9901/tsfile/live/0012_1.m3u8
CCTV14,http://112.132.10.54:9901/tsfile/live/0014_1.m3u8
CCTV15,http://112.132.10.54:9901/tsfile/live/0015_1.m3u8
安徽卫视,http://112.132.10.54:9901/tsfile/live/0130_1.m3u8
安徽科教,http://112.132.10.54:9901/tsfile/live/1008_1.m3u8
安徽综艺,http://112.132.10.54:9901/tsfile/live/1009_1.m3u8
安徽公共,http://112.132.10.54:9901/tsfile/live/1010_1.m3u8
安徽影视,http://112.132.10.54:9901/tsfile/live/1011_1.m3u8
安徽经济生活,http://112.132.10.54:9901/tsfile/live/1012_1.m3u8
阜阳新闻综合,http://112.132.10.54:9901/tsfile/live/1000_1.m3u8
阜阳公共,http://112.132.10.54:9901/tsfile/live/1001_1.m3u8
临泉一台,http://112.132.10.54:9901/tsfile/live/1004_1.m3u8
临泉三台,http://112.132.10.54:9901/tsfile/live/1028_1.m3u8
湖南卫视,http://112.132.10.54:9901/tsfile/live/0128_2.m3u8
佳佳卡通,http://112.132.10.54:9901/tsfile/live/1022_1.m3u8
四海钓鱼,http://112.132.10.54:9901/tsfile/live/1026_1.m3u8
浙江卫视,http://112.132.10.54:9901/tsfile/live/1007_1.m3u8
河南卫视,http://112.132.10.54:9901/tsfile/live/0139_1.m3u8
宁夏卫视,http://112.132.10.54:9901/tsfile/live/0112_1.m3u8
梨园,http://112.132.10.54:9901/tsfile/live/1019_1.m3u8
陕西卫视,http://112.132.10.54:9901/tsfile/live/0136_1.m3u8
农林卫视,http://112.132.10.54:9901/tsfile/live/1034_1.m3u8
CCTV4,http://112.132.10.54:9901/tsfile/live/0004_1.m3u8
重庆卫视,http://112.132.10.54:9901/tsfile/live/0142_1.m3u8
吉林卫视,http://112.132.10.54:9901/tsfile/live/0116_1.m3u8
山东教育,http://112.132.10.54:9901/tsfile/live/1018_1.m3u8
江西卫视,http://112.132.10.54:9901/tsfile/live/0138_1.m3u8
吉林卫视,http://112.132.10.54:9901/tsfile/live/0116_2.m3u8
甘肃卫视,http://112.132.10.54:9901/tsfile/live/0141_1.m3u8
天津卫视,http://112.132.10.54:9901/tsfile/live/1017_8.m3u8
海南卫视,http://112.132.10.54:9901/tsfile/live/1023_1.m3u8
西藏卫视,http://112.132.10.54:9901/tsfile/live/0111_1.m3u8
兵团卫视,http://112.132.10.54:9901/tsfile/live/0115_1.m3u8
家家购物,http://112.132.10.54:9901/tsfile/live/1030_1.m3u8
安广网络,http://112.132.10.54:9901/tsfile/live/1032_1.m3u8
测试02,http://112.132.10.54:9901/tsfile/live/1003_1.m3u8
湖北卫视,http://112.132.10.54:9901/tsfile/live/1027_1.m3u8
