中国联通-山东-酒店,#genre#
CCTV1,http://58.19.252.68:1111/tsfile/live/1000_1.m3u8
CCTV2,http://58.19.252.68:1111/tsfile/live/1001_1.m3u8
CCTV3,http://58.19.252.68:1111/tsfile/live/1002_1.m3u8
CCTV4,http://58.19.252.68:1111/tsfile/live/1003_1.m3u8
CCTV5,http://58.19.252.68:1111/tsfile/live/1004_1.m3u8
CCTV6,http://58.19.252.68:1111/tsfile/live/1005_1.m3u8
CCTV7,http://58.19.252.68:1111/tsfile/live/1006_1.m3u8
CCTV8,http://58.19.252.68:1111/tsfile/live/1007_1.m3u8
CCTV9,http://58.19.252.68:1111/tsfile/live/1008_1.m3u8
CCTV10,http://58.19.252.68:1111/tsfile/live/1009_1.m3u8
CCTV11,http://58.19.252.68:1111/tsfile/live/1010_1.m3u8
CCTV12,http://58.19.252.68:1111/tsfile/live/1011_1.m3u8
CCTV13,http://58.19.252.68:1111/tsfile/live/1012_1.m3u8
CCTV14,http://58.19.252.68:1111/tsfile/live/1013_1.m3u8
CCTV15,http://58.19.252.68:1111/tsfile/live/0015_1.m3u8
CCTV5+,http://58.19.252.68:1111/tsfile/live/1014_1.m3u8
湖北卫视,http://58.19.252.68:1111/tsfile/live/1015_1.m3u8
湖南卫视,http://58.19.252.68:1111/tsfile/live/1016_1.m3u8
北京卫视,http://58.19.252.68:1111/tsfile/live/1017_1.m3u8
上海卫视,http://58.19.252.68:1111/tsfile/live/1018_1.m3u8
江苏卫视,http://58.19.252.68:1111/tsfile/live/1019_1.m3u8
浙江卫视,http://58.19.252.68:1111/tsfile/live/1020_1.m3u8
安徽卫视,http://58.19.252.68:1111/tsfile/live/1021_1.m3u8
广东卫视,http://58.19.252.68:1111/tsfile/live/1022_1.m3u8
深圳卫视,http://58.19.252.68:1111/tsfile/live/1023_1.m3u8
天津卫视,http://58.19.252.68:1111/tsfile/live/1024_1.m3u8
山东卫视,http://58.19.252.68:1111/tsfile/live/1025_1.m3u8
河南卫视,http://58.19.252.68:1111/tsfile/live/1026_1.m3u8
辽宁卫视,http://58.19.252.68:1111/tsfile/live/1027_1.m3u8
东南卫视,http://58.19.252.68:1111/tsfile/live/1028_1.m3u8
江西卫视,http://58.19.252.68:1111/tsfile/live/1029_1.m3u8
贵州卫视,http://58.19.252.68:1111/tsfile/live/1030_1.m3u8
金鹰卡通,http://58.19.252.68:1111/tsfile/live/1031_1.m3u8
金鹰纪实,http://58.19.252.68:1111/tsfile/live/1032_1.m3u8
快乐垂钓,http://58.19.252.68:1111/tsfile/live/1033_1.m3u8
风云足球,http://58.19.252.68:1111/tsfile/live/1034_1.m3u8
第一剧场,http://58.19.252.68:1111/tsfile/live/1035_1.m3u8
CHC家庭影院,http://58.19.252.68:1111/tsfile/live/1036_1.m3u8
CHC动作电影,http://58.19.252.68:1111/tsfile/live/1037_1.m3u8
CHC电影,http://58.19.252.68:1111/tsfile/live/1038_1.m3u8
