中国联通-江西-酒店,#genre#
CCTV1,http://113.195.4.227:9901/tsfile/live/0001_1.m3u8
CCTV2,http://113.195.4.227:9901/tsfile/live/1058_1.m3u8
CCTV3,http://113.195.4.227:9901/tsfile/live/0003_1.m3u8
CCTV4,http://113.195.4.227:9901/tsfile/live/0004_1.m3u8
CCTV5,http://113.195.4.227:9901/tsfile/live/0005_1.m3u8
CCTV6,http://113.195.4.227:9901/tsfile/live/0006_1.m3u8
CCTV7,http://113.195.4.227:9901/tsfile/live/0007_1.m3u8
CCTV8,http://113.195.4.227:9901/tsfile/live/0008_1.m3u8
CCTV9,http://113.195.4.227:9901/tsfile/live/0009_1.m3u8
CCTV10,http://113.195.4.227:9901/tsfile/live/1057_1.m3u8
CCTV11,http://113.195.4.227:9901/tsfile/live/1059_1.m3u8
CCTV12,http://113.195.4.227:9901/tsfile/live/1060_1.m3u8
CCTV13,http://113.195.4.227:9901/tsfile/live/1061_1.m3u8
CCTV14,http://113.195.4.227:9901/tsfile/live/1062_1.m3u8
CCTV15,http://113.195.4.227:9901/tsfile/live/1063_1.m3u8
CCTV16,http://113.195.4.227:9901/tsfile/live/1089_1.m3u8
CCTV17,http://113.195.4.227:9901/tsfile/live/0019_1.m3u8
江西卫视,http://113.195.4.227:9901/tsfile/live/0138_1.m3u8
江西2台,http://113.195.4.227:9901/tsfile/live/1064_1.m3u8
江西3台,http://113.195.4.227:9901/tsfile/live/1065_1.m3u8
江西4台,http://113.195.4.227:9901/tsfile/live/1066_1.m3u8
江西5台,http://113.195.4.227:9901/tsfile/live/1067_1.m3u8
江西6台,http://113.195.4.227:9901/tsfile/live/1068_1.m3u8
江西7台,http://113.195.4.227:9901/tsfile/live/1069_1.m3u8
江西8台,http://113.195.4.227:9901/tsfile/live/1070_1.m3u8
中国教育1台,http://113.195.4.227:9901/tsfile/live/1035_1.m3u8
中国教育4台,http://113.195.4.227:9901/tsfile/live/1036_1.m3u8
哈哈炫动,http://113.195.4.227:9901/tsfile/live/1009_1.m3u8
金鹰卡通,http://113.195.4.227:9901/tsfile/live/1008_1.m3u8
新动漫,http://113.195.4.227:9901/tsfile/live/1051_1.m3u8
湖南卫视,http://113.195.4.227:9901/tsfile/live/1000_1.m3u8
浙江卫视,http://113.195.4.227:9901/tsfile/live/1001_1.m3u8
江苏卫视,http://113.195.4.227:9901/tsfile/live/1002_1.m3u8
上海卫视,http://113.195.4.227:9901/tsfile/live/1003_1.m3u8
北京卫视,http://113.195.4.227:9901/tsfile/live/1004_1.m3u8
安徽卫视,http://113.195.4.227:9901/tsfile/live/1005_1.m3u8
山东卫视,http://113.195.4.227:9901/tsfile/live/1006_1.m3u8
深圳卫视,http://113.195.4.227:9901/tsfile/live/1007_1.m3u8
广东卫视,http://113.195.4.227:9901/tsfile/live/1010_1.m3u8
湖北卫视,http://113.195.4.227:9901/tsfile/live/1011_1.m3u8
天津卫视,http://113.195.4.227:9901/tsfile/live/1012_1.m3u8
海南卫视,http://113.195.4.227:9901/tsfile/live/1013_1.m3u8
辽宁卫视,http://113.195.4.227:9901/tsfile/live/1014_1.m3u8
吉林卫视,http://113.195.4.227:9901/tsfile/live/1015_1.m3u8
四川卫视,http://113.195.4.227:9901/tsfile/live/1016_1.m3u8
山西卫视,http://113.195.4.227:9901/tsfile/live/1017_1.m3u8
东南卫视,http://113.195.4.227:9901/tsfile/live/1018_1.m3u8
河南卫视,http://113.195.4.227:9901/tsfile/live/1019_1.m3u8
广西卫视,http://113.195.4.227:9901/tsfile/live/1056_1.m3u8
河北卫视,http://113.195.4.227:9901/tsfile/live/1021_1.m3u8
黑龙江卫视,http://113.195.4.227:9901/tsfile/live/1022_1.m3u8
青海卫视,http://113.195.4.227:9901/tsfile/live/1023_1.m3u8
云南卫视,http://113.195.4.227:9901/tsfile/live/1024_1.m3u8
陕西卫视,http://113.195.4.227:9901/tsfile/live/1025_1.m3u8
甘肃卫视,http://113.195.4.227:9901/tsfile/live/1026_1.m3u8
