中国联通-河北-酒店,#genre#
CCTV1,http://221.193.168.216:9901/tsfile/live/0001_1.m3u8
CCTV2,http://221.193.168.216:9901/tsfile/live/0002_1.m3u8
CCTV3,http://221.193.168.216:9901/tsfile/live/0003_1.m3u8
CCTV4,http://221.193.168.216:9901/tsfile/live/0004_1.m3u8
CCTV5,http://221.193.168.216:9901/tsfile/live/0005_1.m3u8
CCTV6,http://221.193.168.216:9901/tsfile/live/0006_1.m3u8
CCTV7,http://221.193.168.216:9901/tsfile/live/0007_1.m3u8
CCTV8,http://221.193.168.216:9901/tsfile/live/0008_1.m3u8
CCTV9,http://221.193.168.216:9901/tsfile/live/0009_1.m3u8
CCTV10,http://221.193.168.216:9901/tsfile/live/0010_1.m3u8
CCTV11,http://221.193.168.216:9901/tsfile/live/0011_1.m3u8
CCTV12,http://221.193.168.216:9901/tsfile/live/0012_1.m3u8
CCTV13,http://221.193.168.216:9901/tsfile/live/0013_1.m3u8
CCTV14,http://221.193.168.216:9901/tsfile/live/0014_1.m3u8
CCTV15,http://221.193.168.216:9901/tsfile/live/0015_1.m3u8
浙江卫视,http://221.193.168.216:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://221.193.168.216:9901/tsfile/live/0127_1.m3u8
上海卫视,http://221.193.168.216:9901/tsfile/live/0107_1.m3u8
湖南卫视,http://221.193.168.216:9901/tsfile/live/0128_1.m3u8
北京卫视,http://221.193.168.216:9901/tsfile/live/0122_1.m3u8
河南卫视,http://221.193.168.216:9901/tsfile/live/0139_1.m3u8
四川卫视,http://221.193.168.216:9901/tsfile/live/0123_1.m3u8
河北卫视,http://221.193.168.216:9901/tsfile/live/0117_1.m3u8
天津卫视,http://221.193.168.216:9901/tsfile/live/0135_1.m3u8
黑龙江卫视,http://221.193.168.216:9901/tsfile/live/0143_1.m3u8
重庆卫视,http://221.193.168.216:9901/tsfile/live/0142_1.m3u8
山东卫视,http://221.193.168.216:9901/tsfile/live/0131_1.m3u8
湖北卫视,http://221.193.168.216:9901/tsfile/live/0132_1.m3u8
深圳卫视,http://221.193.168.216:9901/tsfile/live/0126_1.m3u8
广东卫视,http://221.193.168.216:9901/tsfile/live/0125_1.m3u8
广西卫视,http://221.193.168.216:9901/tsfile/live/0113_1.m3u8
江西卫视,http://221.193.168.216:9901/tsfile/live/0138_1.m3u8
云南卫视,http://221.193.168.216:9901/tsfile/live/0119_1.m3u8
风云足球,http://221.193.168.216:9901/tsfile/live/1001_1.m3u8
石家庄生活,http://221.193.168.216:9901/tsfile/live/1003_1.m3u8
河北经济,http://221.193.168.216:9901/tsfile/live/1008_1.m3u8
河北都市,http://221.193.168.216:9901/tsfile/live/1009_1.m3u8
河北公共,http://221.193.168.216:9901/tsfile/live/1010_1.m3u8
河北少儿科技,http://221.193.168.216:9901/tsfile/live/1011_1.m3u8
河北影视,http://221.193.168.216:9901/tsfile/live/1012_1.m3u8
金鹰卡通,http://221.193.168.216:9901/tsfile/live/1013_1.m3u8
卡酷少儿,http://221.193.168.216:9901/tsfile/live/1014_1.m3u8
电视指南,http://221.193.168.216:9901/tsfile/live/1000_1.m3u8
第一剧场,http://221.193.168.216:9901/tsfile/live/1015_1.m3u8
风云剧场,http://221.193.168.216:9901/tsfile/live/1016_1.m3u8
怀旧剧场,http://221.193.168.216:9901/tsfile/live/1017_1.m3u8
风云音乐,http://221.193.168.216:9901/tsfile/live/1018_1.m3u8
国防军事,http://221.193.168.216:9901/tsfile/live/1019_1.m3u8
地理世界,http://221.193.168.216:9901/tsfile/live/1020_1.m3u8
