中国联通-湖南-酒店,#genre#
CCTV1,http://119.39.9.8:9901/tsfile/live/0001_1.m3u8
CCTV2,http://119.39.9.8:9901/tsfile/live/0002_1.m3u8
CCTV3,http://119.39.9.8:9901/tsfile/live/0003_1.m3u8
CCTV4,http://119.39.9.8:9901/tsfile/live/0004_1.m3u8
CCTV5,http://119.39.9.8:9901/tsfile/live/0005_1.m3u8
CCTV7,http://119.39.9.8:9901/tsfile/live/0007_1.m3u8
CCTV8,http://119.39.9.8:9901/tsfile/live/0008_1.m3u8
CCTV9,http://119.39.9.8:9901/tsfile/live/0009_1.m3u8
CCTV10,http://119.39.9.8:9901/tsfile/live/0010_1.m3u8
CCTV11,http://119.39.9.8:9901/tsfile/live/0011_1.m3u8
CCTV13,http://119.39.9.8:9901/tsfile/live/0013_1.m3u8
CCTV15,http://119.39.9.8:9901/tsfile/live/0015_1.m3u8
CCTV14,http://119.39.9.8:9901/tsfile/live/0014_1.m3u8
湖南公共,http://119.39.9.8:9901/tsfile/live/1009_1.m3u8
湖南卫视,http://119.39.9.8:9901/tsfile/live/0128_1.m3u8
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8
四川卫视,http://119.39.9.8:9901/tsfile/live/0123_1.m3u8
湖北卫视,http://119.39.9.8:9901/tsfile/live/0132_1.m3u8
安徽卫视,http://119.39.9.8:9901/tsfile/live/0130_1.m3u8
河北卫视,http://119.39.9.8:9901/tsfile/live/0117_1.m3u8
天津卫视,http://119.39.9.8:9901/tsfile/live/0135_1.m3u8
云南卫视,http://119.39.9.8:9901/tsfile/live/0119_1.m3u8
重庆卫视,http://119.39.9.8:9901/tsfile/live/0142_1.m3u8
江苏卫视,http://119.39.9.8:9901/tsfile/live/0127_1.m3u8
甘肃卫视,http://119.39.9.8:9901/tsfile/live/0141_1.m3u8
浙江卫视,http://119.39.9.8:9901/tsfile/live/0124_1.m3u8
吉林卫视,http://119.39.9.8:9901/tsfile/live/0116_2.m3u8
河南卫视,http://119.39.9.8:9901/tsfile/live/0139_1.m3u8
深圳卫视,http://119.39.9.8:9901/tsfile/live/0126_1.m3u8
北京卫视,http://119.39.9.8:9901/tsfile/live/0122_1.m3u8
广西卫视,http://119.39.9.8:9901/tsfile/live/0113_1.m3u8
黑龙江卫视,http://119.39.9.8:9901/tsfile/live/0143_1.m3u8
陕西卫视,http://119.39.9.8:9901/tsfile/live/0136_1.m3u8
辽宁卫视,http://119.39.9.8:9901/tsfile/live/0121_1.m3u8
山东卫视,http://119.39.9.8:9901/tsfile/live/0131_1.m3u8
江西卫视,http://119.39.9.8:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://119.39.9.8:9901/tsfile/live/0120_1.m3u8
吉林卫视,http://119.39.9.8:9901/tsfile/live/0116_1.m3u8
