中国联通-辽宁-酒店,#genre#
CCTV1,http://fxgm.fxjf.work:19901/tsfile/live/0001_1.m3u8
CCTV2,http://fxgm.fxjf.work:19901/tsfile/live/0002_1.m3u8
CCTV3,http://fxgm.fxjf.work:19901/tsfile/live/0003_1.m3u8
CCTV4,http://fxgm.fxjf.work:19901/tsfile/live/0004_1.m3u8
CCTV5,http://fxgm.fxjf.work:19901/tsfile/live/0005_1.m3u8
CCTV6,http://fxgm.fxjf.work:19901/tsfile/live/0006_1.m3u8
CCTV7,http://fxgm.fxjf.work:19901/tsfile/live/0007_1.m3u8
CCTV8,http://fxgm.fxjf.work:19901/tsfile/live/0008_1.m3u8
CCTV9,http://fxgm.fxjf.work:19901/tsfile/live/0009_1.m3u8
CCTV10,http://fxgm.fxjf.work:19901/tsfile/live/0010_1.m3u8
CCTV11,http://fxgm.fxjf.work:19901/tsfile/live/0011_1.m3u8
CCTV12,http://fxgm.fxjf.work:19901/tsfile/live/0012_1.m3u8
CCTV13,http://fxgm.fxjf.work:19901/tsfile/live/0013_1.m3u8
CCTV14,http://fxgm.fxjf.work:19901/tsfile/live/0014_1.m3u8
CCTV15,http://fxgm.fxjf.work:19901/tsfile/live/0015_1.m3u8
CCTV5+,http://fxgm.fxjf.work:19901/tsfile/live/0016_1.m3u8
辽宁卫视,http://fxgm.fxjf.work:19901/tsfile/live/0121_1.m3u8
北京卫视,http://fxgm.fxjf.work:19901/tsfile/live/0122_1.m3u8
天津卫视,http://fxgm.fxjf.work:19901/tsfile/live/0135_1.m3u8
浙江卫视,http://fxgm.fxjf.work:19901/tsfile/live/0124_1.m3u8
江苏卫视,http://fxgm.fxjf.work:19901/tsfile/live/0127_1.m3u8
安徽卫视,http://fxgm.fxjf.work:19901/tsfile/live/0130_1.m3u8
贵州卫视,http://fxgm.fxjf.work:19901/tsfile/live/0120_1.m3u8
山东卫视,http://fxgm.fxjf.work:19901/tsfile/live/0131_1.m3u8
山西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0118_1.m3u8
广东卫视,http://fxgm.fxjf.work:19901/tsfile/live/0125_1.m3u8
广西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0113_1.m3u8
湖北卫视,http://fxgm.fxjf.work:19901/tsfile/live/0132_1.m3u8
湖南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0128_1.m3u8
江西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0138_1.m3u8
河北卫视,http://fxgm.fxjf.work:19901/tsfile/live/0117_1.m3u8
河南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0139_1.m3u8
四川卫视,http://fxgm.fxjf.work:19901/tsfile/live/0123_1.m3u8
重庆卫视,http://fxgm.fxjf.work:19901/tsfile/live/0142_1.m3u8
东南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0137_1.m3u8
青海卫视,http://fxgm.fxjf.work:19901/tsfile/live/0140_1.m3u8
云南卫视,http://fxgm.fxjf.work:19901/tsfile/live/0119_1.m3u8
陕西卫视,http://fxgm.fxjf.work:19901/tsfile/live/0136_1.m3u8
内蒙古卫视,http://fxgm.fxjf.work:19901/tsfile/live/0109_1.m3u8
宁夏卫视,http://fxgm.fxjf.work:19901/tsfile/live/0112_1.m3u8
吉林卫视,http://fxgm.fxjf.work:19901/tsfile/live/0116_1.m3u8
新疆卫视,http://fxgm.fxjf.work:19901/tsfile/live/0110_1.m3u8
甘肃卫视,http://fxgm.fxjf.work:19901/tsfile/live/0141_1.m3u8
西藏卫视,http://fxgm.fxjf.work:19901/tsfile/live/0111_1.m3u8
黑龙江卫视,http://fxgm.fxjf.work:19901/tsfile/live/0143_1.m3u8
深圳卫视,http://fxgm.fxjf.work:19901/tsfile/live/0126_1.m3u8
厦门卫视,http://fxgm.fxjf.work:19901/tsfile/live/0129_1.m3u8
兵团卫视,http://fxgm.fxjf.work:19901/tsfile/live/0115_1.m3u8
辽宁都市,http://fxgm.fxjf.work:19901/tsfile/live/1000_1.m3u8
辽宁影视,http://fxgm.fxjf.work:19901/tsfile/live/1001_1.m3u8
辽宁体育,http://fxgm.fxjf.work:19901/tsfile/live/1003_1.m3u8
辽宁生活,http://fxgm.fxjf.work:19901/tsfile/live/1004_1.m3u8
辽宁教育青少,http://fxgm.fxjf.work:19901/tsfile/live/1005_1.m3u8
辽宁北方,http://fxgm.fxjf.work:19901/tsfile/live/1006_1.m3u8
辽宁公共,http://fxgm.fxjf.work:19901/tsfile/live/1007_1.m3u8
辽宁经济,http://fxgm.fxjf.work:19901/tsfile/live/1008_1.m3u8
辽宁移动电视,http://fxgm.fxjf.work:19901/tsfile/live/1009_1.m3u8
海南卫视,http://fxgm.fxjf.work:19901/tsfile/live/1010_1.m3u8
延边卫视,http://fxgm.fxjf.work:19901/tsfile/live/1011_1.m3u8
金鹰卡通,http://fxgm.fxjf.work:19901/tsfile/live/1012_1.m3u8
优漫卡通,http://fxgm.fxjf.work:19901/tsfile/live/1013_1.m3u8
家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
电影,http://fxgm.fxjf.work:19901/tsfile/live/1016_1.m3u8
