Smartv,#genre#
RTHK32,https://127.0.0.1:8080/smartv/rhk32_twn.m3u8
RTHK31,https://127.0.0.1:8080/smartv/rhk31_twn.m3u8
凤凰卫视,https://127.0.0.1:8080/smartv/phoenixtv_hd.m3u8
无线财经资讯,https://127.0.0.1:8080/smartv/tvbcaijing_twn.m3u8
VIUTV1,https://127.0.0.1:8080/smartv/viu1_twn.m3u8
无线新闻,https://127.0.0.1:8080/smartv/inews_twn.m3u8
龙华戏剧,https://127.0.0.1:8080/smartv/lunghuaxiju_twn.m3u8
龙华偶像,https://127.0.0.1:8080/smartv/lunghuaidol_twn.m3u8
龙华卡通,https://127.0.0.1:8080/smartv/jingtiancartoon_twn.m3u8
非凡新闻,https://127.0.0.1:8080/smartv/feifannews_twn.m3u8
美亚电影,https://127.0.0.1:8080/smartv/meiyamovie_twn.m3u8
Arirang,https://127.0.0.1:8080/smartv/arirang_twn.m3u8
好莱坞电影,https://127.0.0.1:8080/smartv/hollywoodmovies_twn.m3u8
爱尔达体育2,https://127.0.0.1:8080/smartv/eltasport2_twn.m3u8
爱尔达体育1,https://127.0.0.1:8080/smartv/eltasport_twn.m3u8
民视新闻,https://127.0.0.1:8080/smartv/ftvnew_taiwan.m3u8
民视台湾,https://127.0.0.1:8080/smartv/ftvtaiwan_twn.m3u8
民视,https://127.0.0.1:8080/smartv/ftvhd_taiwan.m3u8
年代新闻,https://127.0.0.1:8080/smartv/niandainews_twn.m3u8
大爱1,https://127.0.0.1:8080/smartv/daai_twn.m3u8
博斯高球2,https://127.0.0.1:8080/smartv/bosigolf2_twn.m3u8
博斯运动2,https://127.0.0.1:8080/smartv/bosisport2_twn.m3u8
博斯运动1,https://127.0.0.1:8080/smartv/bosisport1_twn.m3u8
博斯网球,https://127.0.0.1:8080/smartv/bositennis_twn.m3u8
华视,https://127.0.0.1:8080/smartv/ctshd_twn.m3u8
公视,https://127.0.0.1:8080/smartv/ctv_taiwan.m3u8
八大综合,https://127.0.0.1:8080/smartv/badazhonghe.m3u8
中视新闻,https://127.0.0.1:8080/smartv/zhongshinews_twn.m3u8
中视,https://127.0.0.1:8080/smartv/zhongshihd_twn.m3u8
中天娱乐,https://127.0.0.1:8080/smartv/ctient.m3u8
中天亚洲,https://127.0.0.1:8080/smartv/ctiasia_twn.m3u8
东森超视,https://127.0.0.1:8080/smartv/ettvsuper.m3u8
东森戏剧,https://127.0.0.1:8080/smartv/ettvdrama.m3u8
三立综合,https://127.0.0.1:8080/smartv/sanlizhonghe.m3u8
三立戏剧,https://127.0.0.1:8080/smartv/sanlixiju_twn.m3u8
东森电影,https://127.0.0.1:8080/smartv/ettvmovie.m3u8
东森综合,https://127.0.0.1:8080/smartv/ettvzhonghe.m3u8
中天综合,https://127.0.0.1:8080/smartv/ctizhonghe.m3u8
八大综合,https://127.0.0.1:8080/smartv/badazhonghe.m3u8
