YouTube「线路1」,#genre#
公視新聞,https://127.0.0.1:8080/youtube/quwqlazU-c8.m3u8
鏡新聞,https://127.0.0.1:8080/youtube/5n0y6b0Q25o.m3u8
華視新聞,https://127.0.0.1:8080/youtube/wM0g8EoUZ_E.m3u8
中視新聞,https://127.0.0.1:8080/youtube/TCnaIE_SAtM.m3u8
中天新聞,https://127.0.0.1:8080/youtube/oIgbl7t0S_w.m3u8
中天新聞2台,https://127.0.0.1:8080/youtube/WPfPjbOLNfE.m3u8
民視新聞,https://127.0.0.1:8080/youtube/ylYJSBUgaMA.m3u8
三立新聞,https://127.0.0.1:8080/youtube/oZdzzvxTfUY.m3u8
三立新聞2台,https://127.0.0.1:8080/youtube/CKjSm5ZeehE.m3u8
三立12小時新聞,https://127.0.0.1:8080/youtube/MzyekdjkblA.m3u8
東森新聞,https://127.0.0.1:8080/youtube/LuQ4S-i5zoE.m3u8
TVBS 55,https://127.0.0.1:8080/youtube/m_dhMSvUCIc.m3u8
寰宇新聞,https://127.0.0.1:8080/youtube/6IquAgfvYmc.m3u8
寰宇新聞台灣台,https://127.0.0.1:8080/youtube/w87VGpgd90U.m3u8
台視新聞,https://127.0.0.1:8080/youtube/xL0ch83RAK8.m3u8
非凡大探索 台北美食,https://127.0.0.1:8080/youtube/rQUP8Ck27gc.m3u8
非凡大探索 台中美食,https://127.0.0.1:8080/youtube/T2udU5Crz4I.m3u8
非凡大探索 高雄美食,https://127.0.0.1:8080/youtube/bOcfle08bWA.m3u8
MIT 台灣誌,https://127.0.0.1:8080/youtube/9d4ggywa01w.m3u8
大陸尋奇,https://127.0.0.1:8080/youtube/fl1iFkAWcVU.m3u8
亞洲美食頻道,https://127.0.0.1:8080/youtube/nUzOmgx3RvM.m3u8
台灣啟示錄,https://127.0.0.1:8080/youtube/0qb7ND0_E6k.m3u8
中廣流行網,https://127.0.0.1:8080/youtube/TsiMLrOSY5U.m3u8
momo購物一台,https://127.0.0.1:8080/youtube/_pZQ1Lk0xMA.m3u8
momo購物二台,https://127.0.0.1:8080/youtube/xbNWkUyxQGM.m3u8
東森購物CH34,https://127.0.0.1:8080/youtube/_Vlzn9qAHD4.m3u8
東森購物CH46,https://127.0.0.1:8080/youtube/Z50JFuNgvB0.m3u8
東森購物CH47,https://127.0.0.1:8080/youtube/ViJ3XiN6Q3M.m3u8
東森購物CH60,https://127.0.0.1:8080/youtube/u0NYyH3ZesE.m3u8
ViVa TV 美好購物1台,https://127.0.0.1:8080/youtube/7IyxOiGMLgw.m3u8
ViVa TV 美好購物2台,https://127.0.0.1:8080/youtube/lEXITHxcagI.m3u8
東森財經新聞,https://127.0.0.1:8080/youtube/WHEPzbFA3hw.m3u8
