中国电信-吉林-组播,#genre#
CCTV1,http://36.49.50.29:8800/udp/239.37.0.254:5540
CCTV2,http://36.49.50.29:8800/udp/239.37.0.003:5540
CCTV3,http://36.49.50.29:8800/udp/239.37.0.231:5540
cctv4,http://36.49.50.29:8800/udp/239.37.0.022:5540
CCTV5,http://36.49.50.29:8800/udp/239.37.0.232:5540
CCTV5+,http://36.49.50.29:8800/udp/239.37.0.121:5540
CCTV6,http://36.49.50.29:8800/udp/239.37.0.233:5540
CCTV8,http://36.49.50.29:8800/udp/239.37.0.234:5540
CCTV9,http://36.49.50.29:8800/udp/239.37.0.001:5540
CCTV10,http://36.49.50.29:8800/udp/239.37.0.007:5540
CCTV12,http://36.49.50.29:8800/udp/239.37.0.006:5540
cctv13,http://36.49.50.29:8800/udp/239.37.0.028:5540
CCTV14,http://36.49.50.29:8800/udp/239.37.0.005:5540
CCTV17,http://36.49.50.29:8800/udp/239.37.0.002:5540
CCTV女性时尚,http://36.49.50.29:8800/udp/239.37.0.069:5540
CCTV世界地理,http://36.49.50.29:8800/udp/239.37.0.079:5540
CCTV第一剧场,http://36.49.50.29:8800/udp/239.37.0.078:5540
CCTV风云足球,http://36.49.50.29:8800/udp/239.37.0.080:5540
CCTV风云音乐,http://36.49.50.29:8800/udp/239.37.0.081:5540
CCTV怀旧剧场,http://36.49.50.29:8800/udp/239.37.0.082:5540
CCTV文化精品,http://36.49.50.29:8800/udp/239.37.0.083:5540
CCTV兵器科技,http://36.49.50.29:8800/udp/239.37.0.084:5540
CCTV电视指南,http://36.49.50.29:8800/udp/239.37.0.115:5540
CCTV高尔夫网球,http://36.49.50.29:8800/udp/239.37.0.230:5540
CCTV卫生健康,http://36.49.50.29:8800/udp/239.37.0.229:5540
CCTV风云剧场,http://36.49.50.29:8800/udp/239.37.0.114:5540
CCTV台球,http://36.49.50.29:8800/udp/239.37.0.163:5540
max极速汽车,http://36.49.50.29:8800/udp/239.37.0.237:5540
家家购物,http://36.49.50.29:8800/udp/239.37.0.235:5540
citv都市剧场,http://36.49.50.29:8800/udp/239.37.0.241:5540
生活时尚,http://36.49.50.29:8800/udp/239.37.0.240:5540
金色学堂,http://36.49.50.29:8800/udp/239.37.0.239:5540
动漫秀场,http://36.49.50.29:8800/udp/239.37.0.242:5540
游戏风云,http://36.49.50.29:8800/udp/239.37.0.243:5540
快乐垂钓,http://36.49.50.29:8800/udp/239.37.0.244:5540
湖南茶频道,http://36.49.50.29:8800/udp/239.37.0.245:5540
湖南卫视,http://36.49.50.29:8800/udp/239.37.0.038:5540
天津卫视,http://36.49.50.29:8800/udp/239.37.0.064:5540
北京卫视,http://36.49.50.29:8800/udp/239.37.0.050:5540
广东卫视,http://36.49.50.29:8800/udp/239.37.0.033:5540
黑龙江卫视,http://36.49.50.29:8800/udp/239.37.0.032:5540
山东卫视,http://36.49.50.29:8800/udp/239.37.0.049:5540
深圳卫视,http://36.49.50.29:8800/udp/239.37.0.047:5540
湖北卫视,http://36.49.50.29:8800/udp/239.37.0.040:5540
东南卫视,http://36.49.50.29:8800/udp/239.37.0.042:5540
吉林卫视,http://36.49.50.29:8800/udp/239.37.0.101:5540
东方卫视,http://36.49.50.29:8800/udp/239.37.0.048:5540
江苏卫视,http://36.49.50.29:8800/udp/239.37.0.055:5540
每日影视,http://36.49.50.29:8800/udp/239.37.0.221:5540
CHC动作电影,http://36.49.50.29:8800/udp/239.37.0.186:5540
CHC高清电影,http://36.49.50.29:8800/udp/239.37.0.187:5540
CHC家庭影院,http://36.49.50.29:8800/udp/239.37.0.188:5540
幸福剧场,http://36.49.50.29:8800/udp/239.37.0.222:5540
中国交通,http://36.49.50.29:8800/udp/239.37.0.226:5540
全纪实,http://36.49.50.29:8800/udp/239.37.0.236:5540
法制天地,http://36.49.50.29:8800/udp/239.37.0.238:5540
风尚生活,http://36.49.50.29:8800/udp/239.37.0.224:5540
幸福娱乐,http://36.49.50.29:8800/udp/239.37.0.223:5540
crt综合,http://36.49.50.29:8800/udp/239.37.0.096:5540
crt娱乐,http://36.49.50.29:8800/udp/239.37.0.097:5540
crt市民,http://36.49.50.29:8800/udp/239.37.0.098:5540
crt经济,http://36.49.50.29:8800/udp/239.37.0.099:5540
crt汽车,http://36.49.50.29:8800/udp/239.37.0.100:5540
汽摩,http://36.49.50.29:8800/udp/239.37.0.090:5540
