中国电信-湖南-组播,#genre#
湖南卫视FHD,http://www.erbao1981.top:8188/udp/239.76.252.115:9000
湖南经视FHD,http://www.erbao1981.top:8188/udp/239.76.245.116:1234
湖南都市FHD,http://www.erbao1981.top:8188/udp/239.76.245.117:1234
湖南电视剧FHD,http://www.erbao1981.top:8188/udp/239.76.245.118:1234
湖南电影FHD,http://www.erbao1981.top:8188/udp/239.76.245.119:1234
湖南娱乐FHD,http://www.erbao1981.top:8188/udp/239.76.245.121:1234
湖南国际FHD,http://www.erbao1981.top:8188/udp/239.76.245.124:1234
湖南公共FHD,http://www.erbao1981.top:8188/udp/239.76.245.123:1234
CCTV1HD,http://www.erbao1981.top:8188/udp/239.76.253.151:9000
CCTV2HD,http://www.erbao1981.top:8188/udp/239.76.253.152:9000
CCTV3HD,http://www.erbao1981.top:8188/udp/239.76.253.153:9000
CCTV4HD,http://www.erbao1981.top:8188/udp/239.76.253.154:9000
CCTV5HD,http://www.erbao1981.top:8188/udp/239.76.253.155:9000
CCTV5+hd,http://www.erbao1981.top:8188/udp/239.76.253.168:9000
CCTV6HD,http://www.erbao1981.top:8188/udp/239.76.253.156:9000
CCTV7HD,http://www.erbao1981.top:8188/udp/239.76.253.157:9000
CCTV8HD,http://www.erbao1981.top:8188/udp/239.76.253.158:9000
CCTV9HD,http://www.erbao1981.top:8188/udp/239.76.253.159:9000
CCTV10HD,http://www.erbao1981.top:8188/udp/239.76.253.160:9000
CCTV11HD,http://www.erbao1981.top:8188/udp/239.76.245.251:1234
CCTV12HD,http://www.erbao1981.top:8188/udp/239.76.253.162:9000
CCTV13HD,http://www.erbao1981.top:8188/udp/239.76.253.93:9000
CCTV14HD,http://www.erbao1981.top:8188/udp/239.76.253.164:9000
CCTV15HD,http://www.erbao1981.top:8188/udp/239.76.245.252:1234
CCTV16HD,http://www.erbao1981.top:8188/udp/239.76.253.98:9000
CCTV17HD,http://www.erbao1981.top:8188/udp/239.76.245.238:1234
CCTV16 4K,http://www.erbao1981.top:8188/udp/239.76.253.224:9000
CCTV16 4k,http://www.erbao1981.top:8188/udp/239.76.246.224:1234
CCTV16 4kHDR,http://www.erbao1981.top:8188/udp/239.76.246.230:1234
CCTV4欧洲HD,http://www.erbao1981.top:8188/udp/239.76.253.95:9000
CCTV4美洲HD,http://www.erbao1981.top:8188/udp/239.76.253.96:9000
CGTN英语HD,http://www.erbao1981.top:8188/udp/239.76.245.67:1234
CGTN记录HD,http://www.erbao1981.top:8188/udp/239.76.245.66:1234
CGTN俄语,http://www.erbao1981.top:8188/udp/239.76.246.86:1234
CGTN法语,http://www.erbao1981.top:8188/udp/239.76.246.87:1234
CGTN西班牙语,http://www.erbao1981.top:8188/udp/239.76.246.88:1234
体育,http://www.erbao1981.top:8188/udp/239.76.253.136:9000
金鹰卡通FHD,http://www.erbao1981.top:8188/udp/239.76.245.120:1234
金鹰纪实FHD,http://www.erbao1981.top:8188/udp/239.76.245.122:1234
快乐垂钓FHD,http://www.erbao1981.top:8188/udp/239.76.245.127:1234
湖南教育HD,http://www.erbao1981.top:8188/udp/239.76.252.233:9000
茶频道HD,http://www.erbao1981.top:8188/udp/239.76.245.239:1234
广东卫视HD,http://www.erbao1981.top:8188/udp/239.76.252.189:9000
东南卫视HD,http://www.erbao1981.top:8188/udp/239.76.252.190:9000
安徽卫视HD,http://www.erbao1981.top:8188/udp/239.76.252.196:9000
辽宁卫视HD,http://www.erbao1981.top:8188/udp/239.76.252.197:9000
江西卫视HD,http://www.erbao1981.top:8188/udp/239.76.245.225:1234
河北卫视HD,http://www.erbao1981.top:8188/udp/239.76.252.199:9000
贵州卫视HD,http://www.erbao1981.top:8188/udp/239.76.252.198:9000
江苏卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.181:9000
东方卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.186:9000
浙江卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.182:9000
北京卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.184:9000
天津卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.185:9000
深圳卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.188:9000
湖北卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.193:9000
山东卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.195:9000
黑龙江卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.200:9000
吉林卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.201:9000
河南卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.202:9000
海南卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.203:9000
四川卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.91:9000
重庆卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.92:9000
甘肃卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.94:9000
中国教育1HD,http://www.erbao1981.top:8188/udp/239.76.245.192:1234
芒果乐搜,http://www.erbao1981.top:8188/udp/239.76.245.200:1234
芒果乐活,http://www.erbao1981.top:8188/udp/239.76.245.201:1234
长沙女姓HD,http://www.erbao1981.top:8188/udp/239.76.252.23:9000
长沙影视HD,http://www.erbao1981.top:8188/udp/239.76.252.204:9000
湘西综合,http://www.erbao1981.top:8188/udp/239.76.245.209:1234
河南梨园HD,http://www.erbao1981.top:8188/udp/239.76.252.179:9000
文物宝库HD,http://www.erbao1981.top:8188/udp/239.76.252.180:9000
武术世界HD,http://www.erbao1981.top:8188/udp/239.76.252.181:9000
IPTV高清院线,http://www.erbao1981.top:8188/udp/239.76.252.217:9000
芒果乐淘,http://www.erbao1981.top:8188/udp/239.76.245.215:1234
IPTV抗战剧场,http://www.erbao1981.top:8188/udp/239.76.252.218:9000
IPTV古装剧场,http://www.erbao1981.top:8188/udp/239.76.252.219:9000
IPTV经典剧场,http://www.erbao1981.top:8188/udp/239.76.252.221:9000
IPTV家庭剧场,http://www.erbao1981.top:8188/udp/239.76.252.220:9000
IPTV广场舞,http://www.erbao1981.top:8188/udp/239.76.245.134:1234
IPTV4k,http://www.erbao1981.top:8188/udp/239.76.245.35:1234
IPTV电竞,http://www.erbao1981.top:8188/udp/239.76.245.136:1234
张家界2HD,http://www.erbao1981.top:8188/udp/239.76.252.235:9000
张家界综合HD,http://www.erbao1981.top:8188/udp/239.76.252.234:9000
CHC动作电影,http://www.erbao1981.top:8188/udp/239.76.245.243:1234
CHC高清电影,http://www.erbao1981.top:8188/udp/239.76.245.242:1234
CHC家庭影院,http://www.erbao1981.top:8188/udp/239.76.245.241:1234
快乐垂钓HD,http://www.erbao1981.top:8188/udp/239.76.252.127:9000
凤凰资讯HD,http://www.erbao1981.top:8188/udp/239.76.253.134:9000
凤凰中文HD,http://www.erbao1981.top:8188/udp/239.76.253.135:9000
IPTV故事频道,http://www.erbao1981.top:8188/udp/239.76.253.41:9000
IPTV戏曲频道,http://www.erbao1981.top:8188/udp/239.76.253.40:9000
IPTV健康之路,http://www.erbao1981.top:8188/udp/239.76.253.42:9000
CGTN阿拉伯语,http://www.erbao1981.top:8188/udp/239.76.246.97:1234
湖南卫视HD,http://www.erbao1981.top:8188/udp/239.76.253.101:9000
湖南卫视FHD20M,http://www.erbao1981.top:8188/udp/239.76.246.100:1234
湖南经视HD,http://www.erbao1981.top:8188/udp/239.76.252.116:9000
