中国联通-黑龙江-组播,#genre#
黑龙江影视高清,http://1.58.246.240:4001/udp/229.58.190.14:5000
黑龙江影视,http://1.58.246.240:4001/udp/229.58.190.126:5000
黑龙江新闻高清,http://1.58.246.240:4001/udp/229.58.190.16:5000
黑龙江新闻,http://1.58.246.240:4001/udp/229.58.190.122:5000
黑龙江文体,http://1.58.246.240:4001/udp/229.58.190.116:5000
黑龙江卫视高清,http://1.58.246.240:4001/udp/229.58.190.150:5000
黑龙江卫视,http://1.58.246.240:4001/udp/229.58.190.125:5000
黑龙江少儿高清,http://1.58.246.240:4001/udp/229.58.190.39:5000
黑龙江少儿,http://1.58.246.240:4001/udp/229.58.190.124:5000
黑龙江农业,http://1.58.246.240:4001/udp/229.58.190.123:5000
黑龙江都市,http://1.58.246.240:4001/udp/229.58.190.121:5000
CCTV1高清,http://1.58.246.240:4001/udp/229.58.190.151:5000
CCTV1,http://1.58.246.240:4001/udp/229.58.190.129:5000
CCTV9高清,http://1.58.246.240:4001/udp/229.58.190.156:5000
CCTV9,http://1.58.246.240:4001/udp/229.58.190.58:5000
CCTV8高清,http://1.58.246.240:4001/udp/229.58.190.63:5000
CCTV8,http://1.58.246.240:4001/udp/229.58.190.50:5000
CCTV7高清,http://1.58.246.240:4001/udp/229.58.190.132:5000
CCTV7,http://1.58.246.240:4001/udp/229.58.190.82:5000
CCTV6高清,http://1.58.246.240:4001/udp/229.58.190.61:5000
CCTV6,http://1.58.246.240:4001/udp/229.58.190.48:5000
CCTV5高清,http://1.58.246.240:4001/udp/229.58.190.60:5000
CCTV5+高清,http://1.58.246.240:4001/udp/229.58.190.154:5000
CCTV5,http://1.58.246.240:4001/udp/229.58.190.32:5000
CCTV4,http://1.58.246.240:4001/udp/229.58.190.131:5000
CCTV3,http://1.58.246.240:4001/udp/229.58.190.24:5000
CCTV2高清,http://1.58.246.240:4001/udp/229.58.190.153:5000
CCTV2,http://1.58.246.240:4001/udp/229.58.190.130:5000
CCTV17高清,http://1.58.246.240:4001/udp/229.58.190.211:5000
CCTV15,http://1.58.246.240:4001/udp/229.58.190.127:5000
CCTV14高清,http://1.58.246.240:4001/udp/229.58.190.159:5000
CCTV14,http://1.58.246.240:4001/udp/229.58.190.137:5000
CCTV13,http://1.58.246.240:4001/udp/229.58.190.136:5000
CCTV12高清,http://1.58.246.240:4001/udp/229.58.190.158:5000
CCTV12,http://1.58.246.240:4001/udp/229.58.190.135:5000
CCTV11,http://1.58.246.240:4001/udp/229.58.190.134:5000
CCTV10高清,http://1.58.246.240:4001/udp/229.58.190.157:5000
CCTV10,http://1.58.246.240:4001/udp/229.58.190.133:5000
重庆卫视,http://1.58.246.240:4001/udp/229.58.190.27:5000
中国气象,http://1.58.246.240:4001/udp/229.58.190.95:5000
