中国联通-黑龙江-组播,#genre#
黑龙江影视高清,http://218.9.253.251:4000/udp/229.58.190.14:5000
黑龙江影视,http://218.9.253.251:4000/udp/229.58.190.126:5000
黑龙江新闻高清,http://218.9.253.251:4000/udp/229.58.190.16:5000
黑龙江新闻,http://218.9.253.251:4000/udp/229.58.190.122:5000
黑龙江文体,http://218.9.253.251:4000/udp/229.58.190.116:5000
黑龙江卫视高清,http://218.9.253.251:4000/udp/229.58.190.150:5000
黑龙江卫视,http://218.9.253.251:4000/udp/229.58.190.125:5000
黑龙江少儿高清,http://218.9.253.251:4000/udp/229.58.190.39:5000
黑龙江少儿,http://218.9.253.251:4000/udp/229.58.190.124:5000
黑龙江农业,http://218.9.253.251:4000/udp/229.58.190.123:5000
黑龙江都市,http://218.9.253.251:4000/udp/229.58.190.121:5000
CCTV1高清,http://218.9.253.251:4000/udp/229.58.190.151:5000
CCTV1,http://218.9.253.251:4000/udp/229.58.190.129:5000
CCTV9高清,http://218.9.253.251:4000/udp/229.58.190.156:5000
CCTV9,http://218.9.253.251:4000/udp/229.58.190.58:5000
CCTV8高清,http://218.9.253.251:4000/udp/229.58.190.63:5000
CCTV8,http://218.9.253.251:4000/udp/229.58.190.50:5000
CCTV7高清,http://218.9.253.251:4000/udp/229.58.190.132:5000
CCTV7,http://218.9.253.251:4000/udp/229.58.190.82:5000
CCTV6高清,http://218.9.253.251:4000/udp/229.58.190.61:5000
CCTV6,http://218.9.253.251:4000/udp/229.58.190.48:5000
CCTV5高清,http://218.9.253.251:4000/udp/229.58.190.60:5000
CCTV5+高清,http://218.9.253.251:4000/udp/229.58.190.154:5000
CCTV5,http://218.9.253.251:4000/udp/229.58.190.32:5000
CCTV4,http://218.9.253.251:4000/udp/229.58.190.131:5000
CCTV3,http://218.9.253.251:4000/udp/229.58.190.24:5000
CCTV2高清,http://218.9.253.251:4000/udp/229.58.190.153:5000
CCTV2,http://218.9.253.251:4000/udp/229.58.190.130:5000
CCTV17高清,http://218.9.253.251:4000/udp/229.58.190.211:5000
CCTV15,http://218.9.253.251:4000/udp/229.58.190.127:5000
CCTV14高清,http://218.9.253.251:4000/udp/229.58.190.159:5000
CCTV14,http://218.9.253.251:4000/udp/229.58.190.137:5000
CCTV13,http://218.9.253.251:4000/udp/229.58.190.136:5000
CCTV12高清,http://218.9.253.251:4000/udp/229.58.190.158:5000
CCTV12,http://218.9.253.251:4000/udp/229.58.190.135:5000
CCTV11,http://218.9.253.251:4000/udp/229.58.190.134:5000
CCTV10高清,http://218.9.253.251:4000/udp/229.58.190.157:5000
CCTV10,http://218.9.253.251:4000/udp/229.58.190.133:5000
重庆卫视,http://218.9.253.251:4000/udp/229.58.190.27:5000
中国气象,http://218.9.253.251:4000/udp/229.58.190.95:5000
直播室7,http://218.9.253.251:4000/udp/229.58.190.77:5000
直播室6,http://218.9.253.251:4000/udp/229.58.190.72:5000
直播室5,http://218.9.253.251:4000/udp/229.58.190.64:5000
直播室4,http://218.9.253.251:4000/udp/229.58.190.75:5000
直播室3,http://218.9.253.251:4000/udp/229.58.190.31:5000
直播室2,http://218.9.253.251:4000/udp/229.58.190.1:5000
直播室1,http://218.9.253.251:4000/udp/229.58.190.83:5000
浙江卫视,http://218.9.253.251:4000/udp/229.58.190.28:5000
云南卫视,http://218.9.253.251:4000/udp/229.58.190.176:5000
游戏竞技,http://218.9.253.251:4000/udp/229.58.190.197:5000
游戏风云,http://218.9.253.251:4000/udp/229.58.190.114:5000
优漫卡通,http://218.9.253.251:4000/udp/229.58.190.165:5000
优购物,http://218.9.253.251:4000/udp/229.58.190.22:5000
CCTV央视文化精品,http://218.9.253.251:4000/udp/229.58.190.57:5000
CCTV央视台球,http://218.9.253.251:4000/udp/229.58.190.193:5000
延边卫视,http://218.9.253.251:4000/udp/229.58.190.108:5000
新疆卫视,http://218.9.253.251:4000/udp/229.58.190.179:5000
西藏卫视,http://218.9.253.251:4000/udp/229.58.190.177:5000
武术世界,http://218.9.253.251:4000/udp/229.58.190.198:5000
文物宝库,http://218.9.253.251:4000/udp/229.58.190.167:5000
天津卫视高清,http://218.9.253.251:4000/udp/229.58.190.161:5000
天津卫视,http://218.9.253.251:4000/udp/229.58.190.68:5000
四川卫视高清,http://218.9.253.251:4000/udp/229.58.190.38:5000
四川卫视,http://218.9.253.251:4000/udp/229.58.190.73:5000
CCTV世界地理,http://218.9.253.251:4000/udp/229.58.190.175:5000
生活时尚,http://218.9.253.251:4000/udp/229.58.190.93:5000
深圳卫视高清,http://218.9.253.251:4000/udp/229.58.190.52:5000
深圳卫视,http://218.9.253.251:4000/udp/229.58.190.104:5000
炫动卡通,http://218.9.253.251:4000/udp/229.58.190.182:5000
